Country,Region,City
FR,FR,Castagnola
FR,FR,Masina
FR,FR,Testa
FR,FR,Torra
FR,FR,Vaccaja
FR,FR,Vulpaja
FR,FR,Aas
FR,FR,Aast
FR,FR,Abainville
FR,FR,Abancourt
FR,FR,Abaucourt
FR,FR,Abaucourt-Hautecourt
FR,FR,Abbans-Dessous
FR,FR,Abbans-Dessus
FR,FR,Abbaretz
FR,FR,Abbartello
FR,FR,Abbas
FR,FR,Abbazia
FR,FR,Abbenans
FR,FR,Abbeville-Saint-Lucien
FR,FR,Abbecourt
FR,FR,Abbemont
FR,FR,Abbeville-la-Riviere
FR,FR,Abbeville-les-Conflans
FR,FR,Abbevillers
FR,FR,Abeilhan
FR,FR,Abelcourt
FR,FR,Abenoux
FR,FR,Abergement-Saint-Jean
FR,FR,Abergement-la-Ronce
FR,FR,Abergement-le-Grand
FR,FR,Abergement-le-Petit
FR,FR,Abergement-les-Thesy
FR,FR,Abidos
FR,FR,Abilly
FR,FR,Abitain
FR,FR,Abjat-sur-Bandiat
FR,FR,Ablain-Saint-Nazaire
FR,FR,Ablaincourt-Pressoir
FR,FR,Ablainzevelle
FR,FR,Ablancourt
FR,FR,Ableiges
FR,FR,Ablemont
FR,FR,Ablenay
FR,FR,Ableville
FR,FR,Ablis
FR,FR,Ablon
FR,FR,Ablon-sur-Seine
FR,FR,Abloux
FR,FR,Abon
FR,FR,Aboncourt
FR,FR,Aboncourt-Gesincourt
FR,FR,Aboncourt-sur-Seille
FR,FR,Abondance
FR,FR,Abondant
FR,FR,Abonville
FR,FR,Abos
FR,FR,Aboul
FR,FR,Abouline
FR,FR,Aboen
FR,FR,Abreschviller
FR,FR,Abrest
FR,FR,Abrigny
FR,FR,Abrin
FR,FR,Abries
FR,FR,Abries-Ristolas
FR,FR,Abscon
FR,FR,Abzac
FR,FR,Abere
FR,FR,Acciani
FR,FR,Acclainville
FR,FR,Accolans
FR,FR,Accolay
FR,FR,Accons
FR,FR,Accous
FR,FR,Acelasca
FR,FR,Achain
FR,FR,Achaud
FR,FR,Achen
FR,FR,Achenheim
FR,FR,Achery
FR,FR,Acheux-en-Amienois
FR,FR,Acheux-en-Vimeu
FR,FR,Acheville
FR,FR,Achey
FR,FR,Achicourt
FR,FR,Achiet-le-Grand
FR,FR,Achiet-le-Petit
FR,FR,Achun
FR,FR,Achy
FR,FR,Acheres
FR,FR,Acheres-la-Foret
FR,FR,Acigne
FR,FR,Aclou
FR,FR,Acon
FR,FR,Acoravo
FR,FR,Acq
FR,FR,Acqua Doria
FR,FR,Acqua d'Ilia
FR,FR,Acqualta
FR,FR,Acquatella
FR,FR,Acquebouille
FR,FR,Acquet
FR,FR,Acqueville
FR,FR,Acquigny
FR,FR,Acquin-Westbecourt
FR,FR,Acroux
FR,FR,Acy
FR,FR,Acy-Romance
FR,FR,Acy-en-Multien
FR,FR,Adaincourt
FR,FR,Adainville
FR,FR,Adam-les-Passavant
FR,FR,Adam-les-Vercel
FR,FR,Adamswiller
FR,FR,Adamville
FR,FR,Adast
FR,FR,Adelange
FR,FR,Adelans-et-le-Val-de-Bithaine
FR,FR,Adelaieau
FR,FR,Adervielle-Pouchergues
FR,FR,Adiac
FR,FR,Adilly
FR,FR,Adinfer
FR,FR,Adissan
FR,FR,Adon
FR,FR,Adoncourt
FR,FR,Adriers
FR,FR,Ade
FR,FR,Afa
FR,FR,Afaux
FR,FR,Affieux
FR,FR,Affleville
FR,FR,Affonville
FR,FR,Affoux
FR,FR,Affracourt
FR,FR,Affringues
